notes,Compound.Name,Dino-1314,Green-1545,Archaea-SCM1,Alpha-SA30,Alpha-SA42,Alpha-SA33,Beta-SA59,CFB-SA60,Alpha-SA16,Alpha-SA44,Alpha-SA36,Alpha-SA48,Alpha-SA53,Alpha-SA11,Alpha-DSS-3,Alpha-Och114,Syn-7803,Croco-8501,Syn-8102,Pro-MED4,Pro-1314,Pro-Natl2A,Pro-AS9601,Diatom-To,Hapto-2090,Diatom-Cm,Diatom-Tp,Hapto-371,Diatom-Np,Diatom-Pt,Diatom-Pc55x,Dino-449,Dino-1771,Dino-2021,Chryso-116,Chryso-Ca,Chryso-Cr,Chryso-Cs,Chryso-P3,Green-3430,Gamma-SA55,Gamma-SA7,Diatom-Tp10,Diatom-Tp28,Diatom-Tp35
detected but with gaps,Agmatine-RP,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA
detected but with gaps,Butyryl-L-carnitine-RP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,NA,NA,NA,NA
detected but with gaps,Cys-Gly-RP,0,Blk,Blk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.666666667,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.666666667,0,0,Blk,0,0,0,NA,NA,NA,NA,NA
detected but with gaps,Cys-Gly-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,0,Blk,NA,NA,0,0,0
detected but with gaps,Cytosine-HILIC,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0.666666667,0,0,0,0
detected but with gaps,Fructose biphosphate-HILIC,0,0,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,1,Blk,1,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
detected but with gaps,Glucose 1 phosphate-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Blk,Blk,0,0,0,Blk,NA,NA,1,1,1
detected but with gaps,Homoserine Lactone-RP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blk,0,Blk,Blk,Blk,Blk,NA,NA,NA,NA,NA
detected but with gaps,Isobutyryl-L-carnitine-RP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,NA,NA,NA,NA
detected but with gaps,Methyl 3-methylthiopropionate-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
detected but with gaps,N-Acetyl-Serine-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0
detected but with gaps,Ophthalmic Acid-HILIC,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,NA,NA,NA,NA,NA
detected but with gaps,Phosphocholine-RP,NA,NA,Blk,0,0,1,0,0,0.333333333,NA,NA,NA,NA,NA,NA,NA,Blk,Blk,0,Blk,NA,NA,NA,0,0,1,1,0,1,1,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0
detected but with gaps,Phosphoethanolamine-RP,NA,NA,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,Blk,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0
detected but with gaps,Pyroglutamic acid-HILIC,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA
detected but with gaps,Tocopherol (Vit E)-RP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
detected but with gaps,Trimethylamine-HILIC,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Blk,0,1,0,0,NA,NA,NA,NA,NA
detected but with gaps,Vitamin K1-RP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
internal standard,Acetyl CoA 13C2-HILIC,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Sucrose 13C-HILIC,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
internal standard,Trehalose 13C-HILIC,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
internal standard,Isethionic Acid 13C2-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Sulfoacetic Acid 13C2-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Sulfolactic Acid 13C3-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Adenosine Monophosphate 15N5-HILIC,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
internal standard,Guanosine Monophosphate 15N5-HILIC,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
internal standard,Indole-3-Acetic Acid D5-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,L-Methionine D3-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,L-Phenylalanine D8-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,L-Tryptophan D3-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,L-Cysteic Acid D3-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Pyridoxal D3-RP,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
internal standard,Succinic Acid D4-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Taurine D4-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Tryptamine Hydrochloride D4-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,Docosahexaenoic Acid D5-DCM,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
internal standard,Eicosapentaenoic Acid D5-DCM,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
internal standard,Alpha-Tocopherol D6-DCM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
internal standard,Arachidonic Acid D8-DCM,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
internal standard,DL-Alanine D3-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,DL-Histidine 15N-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,L-Isoleucine 15N-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
internal standard,DL-Proline D7-HILIC,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
internal standard,DL-Valine D8-HILIC,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
internal standard,Vitamin B1_IS-RP,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
internal standard,Vitamin B2_IS-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
not detected on TQS,"2,4 octadienal-RP",0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,3 Indolebutyric Acid-RP,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,3 Indolepropionic Acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,3-Indoleacetonitrile-RP,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,3-Sulfopyruvic Acid-HILIC,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,3OC6-HSL-RP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
not detected on TQS,3OC8-HSL-RP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
not detected on TQS,Abscisic Acid-RP,0,0,./,/,x   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Acetoacetyl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Acetosyringone-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Acetovanillone-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,C4-HSL-RP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
not detected on TQS,C6-HSL-RP,NA,NA,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
not detected on TQS,C8-HSL-RP,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,Blk,0,0,0,Blk,0,0,NA,NA,NA,0,Blk,0,0,Blk,0,0,0,NA,NA,NA
not detected on TQS,Caffeic Acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Caffeine-RP,0,0,0,0,0,0,0,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,Blk,Blk,0,0,0,0,0,0,0,0,Blk,Blk,0,Blk,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0
not detected on TQS,Camalexin-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,cinnamoyl-HSL-RP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
not detected on TQS,Creatine-RP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
not detected on TQS,Creatine-HILIC,0,0,0,0,0,0,0,0,0,Blk,Blk,0,0,0,Blk,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,Blk,0,0,Blk,Blk,0,0,0,0,0,0
not detected on TQS,Crotonyl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,Blk,0,0,0,0,0,0,0,0
not detected on TQS,Cys-Gly oxidized-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Blk,Blk,0,Blk,Blk,Blk,NA,NA,0,Blk,0
not detected on TQS,Cysteine-RP,NA,NA,NA,0,0,0,Blk,Blk,0,0,0,Blk,Blk,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
not detected on TQS,Decarboxylated S-Adenosylmethionine-RP,NA,NA,Blk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blk,0,Blk,Blk,0,0,NA,NA,NA,NA,NA
not detected on TQS,DHZ-RP,0,0,0,Blk,0,0,0,0,Blk,Blk,Blk,Blk,Blk,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,Blk,0,0,0,Blk,Blk,0,0,0
not detected on TQS,Dihydroxybenzoic acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Domoic Acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Ethanesulfonic Acid-HILIC,Blk,Blk,Blk,Blk,Blk,0,0,0,0,0,0,0,0,Blk,0,Blk,0,0,0,0,Blk,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Ethyl 3 aminobenzoate-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Ethyl Dihydroxybenzoate-HILIC,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,Blk,0,Blk,0,0,0,0,0
not detected on TQS,Ferulic Acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,GA3-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,Blk,0,0,0,0,0,0
not detected on TQS,Glucosamine-HILIC,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
not detected on TQS,Glycine-HILIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not detected on TQS,Homocysteine Thiolactone-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Blk,Blk,Blk,Blk,Blk,Blk,NA,NA,0,0,0
not detected on TQS,Homocystine-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Blk,Blk,Blk,Blk,Blk,0,NA,NA,0,0,0
not detected on TQS,Hydroxy-4-methylthiobutyric Acid-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
not detected on TQS,Hydroxylysine-HILIC,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Indole 3 carbinol-HILIC,Blk,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not detected on TQS,Indole 3 Pyruvic Acid-RP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not detected on TQS,Indole 3 Pyruvic Acid-HILIC,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
not detected on TQS,Indoleacrylic Acid-RP,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
not detected on TQS,Keto-methiobutyric Acid-HILIC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
not detected on TQS,L-Homocysteine-HILIC,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
not detected on TQS,Lipoic Acid-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Malonyl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Melatonin-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,MESNA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,Blk,Blk
not detected on TQS,MTA-HILIC,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
not detected on TQS,Muramic Acid-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,Blk,0,0,0,0,0,0,0
not detected on TQS,NADPH-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,p-Coumoroyl-HSL-RP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
not detected on TQS,PQS-HILIC,0,0,0,0,0,0,Blk,0,0,0,0,0,Blk,0,Blk,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0
not detected on TQS,Propanesulfonate-HILIC,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,0,Blk,Blk,Blk,Blk,Blk,Blk,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,0,Blk,Blk,Blk,Blk,0,0,0,0,0,0,Blk,0,0,0,0
not detected on TQS,Resorcylic Acid-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Retinoic Acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0
not detected on TQS,Salicylic Acid-HILIC,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,Blk,Blk,Blk,0,0,0,0,0,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,0,0,Blk
not detected on TQS,Sinaptic Acid-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not detected on TQS,Syringaldehyde-RP,0,0,0,0,0,0,Blk,Blk,Blk,0,0,Blk,0,0,0,0,Blk,Blk,Blk,0,0,0,0,0,0,Blk,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
